Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2021;0,16;0,15;10;24;9;58;56;8;3;6
30/12/2021;0,16;0,17;10;28;12;45;42;5;2;5
29/12/2021;0,19;0,2;11;29;13;47;46;10;4;6
28/12/2021;0,22;0,17;10;30;14;55;62;21;6;5
27/12/2021;0,14;0,15;5;17;10;59;56;11;4;5
26/12/2021;0,22;0,25;3;15;11;49;46;7;3;6
25/12/2021;0,19;0,17;2;10;8;64;66;10;3;5
24/12/2021;0,17;0,16;1;9;7;51;50;8;4;5
23/12/2021;0,17;0,18;1;11;9;58;58;6;3;6
22/12/2021;0,18;0,19;2;18;14;47;44;10;6;6
21/12/2021;0,19;0,18;4;30;23;38;38;14;8;6
20/12/2021;0,2;0,19;7;35;24;30;29;16;8;7
19/12/2021;0,18;0,18;3;18;14;38;38;9;5;6
18/12/2021;0,19;0,18;4;25;19;37;37;8;7;6
17/12/2021;0,24;0,28;16;57;32;16;13;23;13;7
16/12/2021;0,41;0,41;52;115;36;4;;37;21;8
15/12/2021;0,36;0,39;40;91;30;6;6;32;20;7
14/12/2021;0,31;0,28;30;73;27;13;15;25;14;7
13/12/2021;0,18;0,17;12;40;22;29;30;25;8;6
12/12/2021;0,21;0,2;10;31;16;39;47;16;5;5
11/12/2021;0,17;0,16;8;20;8;69;72;14;3;5
10/12/2021;;;6;12;4;82;81;27;7;5
09/12/2021;;;5;16;8;73;75;18;3;5
08/12/2021;0,18;0,17;3;8;4;85;83;22;4;5
07/12/2021;0,18;0,18;4;12;7;62;59;14;3;5
06/12/2021;0,19;0,17;4;12;7;69;71;16;4;5
05/12/2021;0,12;0,12;4;9;3;79;80;19;4;5
04/12/2021;0,16;0,17;4;11;6;69;60;18;5;6
03/12/2021;0,19;0,19;4;19;13;54;62;11;4;5
02/12/2021;0,16;0,16;4;10;4;73;73;15;3;5
01/12/2021;0,18;0,19;5;20;12;58;49;10;3;6
30/11/2021;0,2;0,2;11;46;29;43;51;11;5;6
29/11/2021;0,18;0,18;5;12;5;73;73;6;1;5
28/11/2021;0,16;0,16;3;7;4;78;78;18;3;5
27/11/2021;0,16;0,16;3;8;4;77;78;20;5;5
26/11/2021;0,17;0,17;4;12;6;69;66;12;3;5
25/11/2021;0,18;0,18;4;11;5;68;67;10;4;5
24/11/2021;0,24;0,24;8;28;17;29;25;10;5;6
23/11/2021;0,21;0,21;6;21;13;34;38;10;5;5
22/11/2021;0,16;0,17;5;17;10;56;57;15;2;5
21/11/2021;0,23;0,24;6;27;19;36;34;19;10;7
20/11/2021;0,21;0,2;4;22;17;46;47;19;12;6
19/11/2021;0,23;0,24;8;40;28;24;20;17;12;8
18/11/2021;0,29;0,29;20;60;30;16;19;29;14;6
17/11/2021
15/11/2021
14/11/2021;0,15;0,14;0;1;3;77;78;19;5;4
13/11/2021;0,21;0,23;2;17;15;49;41;32;12;5
12/11/2021;0,28;0,28;8;37;26;29;30;28;14;7
11/11/2021;0,27;0,27;9;41;28;33;28;30;14;8
10/11/2021;0,26;0,25;6;41;31;29;30;26;12;7
09/11/2021;0,17;0,16;3;19;18;47;54;22;8;4
08/11/2021;0,16;0,17;0;2;7;70;70;19;5;5
07/11/2021;0,23;0,23;3;22;20;38;28;13;7;7
06/11/2021;0,29;0,3;5;31;25;26;29;15;10;5
05/11/2021;0,2;0,17;2;17;16;53;57;12;6;5
04/11/2021;0,14;0,14;0;15;15;68;68;13;2;7
03/11/2021;0,15;0,15;0;14;15;74;76;9;2;5
02/11/2021;0,16;0,16;2;21;19;65;61;15;5;5
01/11/2021;0,16;0,15;2;24;21;70;72;22;5;5
31/10/2021;0,18;0,2;2;22;18;66;62;10;3;4
30/10/2021;0,24;0,24;9;35;21;59;62;13;4;4
29/10/2021;0,22;0,23;4;28;22;71;75;22;8;4
28/10/2021;0,23;0,26;5;34;26;66;55;24;11;6
27/10/2021;0,31;0,29;20;57;27;24;29;24;12;6
26/10/2021;0,34;0,35;16;47;23;34;33;24;11;7
25/10/2021;0,37;0,38;13;45;25;30;31;25;11;8
24/10/2021;0,26;0,25;8;30;17;42;44;13;;6
23/10/2021;0,25;0,21;8;29;16;40;44;15;;5
22/10/2021;0,18;0,18;8;23;11;62;64;20;5;5
21/10/2021;0,19;0,21;12;26;7;71;71;34;7;6
20/10/2021;0,26;0,26;17;42;15;54;55;21;9;7
19/10/2021;0,21;0,22;22;44;10;55;48;14;6;7
18/10/2021;0,24;0,22;20;55;24;28;27;15;;6
17/10/2021;0,24;0,26;15;43;20;31;32;17;11;6
16/10/2021;0,29;0,27;15;43;20;47;54;20;15;6
15/10/2021;0,3;0,33;23;57;23;51;40;24;13;9
14/10/2021;0,31;0,28;19;61;32;30;31;;13;8
13/10/2021;0,29;0,3;20;55;25;35;34;21;15;7
12/10/2021;0,3;0,31;15;43;19;35;37;20;16;6
11/10/2021;0,29;0,27;15;39;17;44;47;21;18;6
10/10/2021;0,26;0,26;11;25;8;64;63;16;13;6
09/10/2021;0,29;0,28;13;38;18;46;42;19;10;7
08/10/2021;0,3;0,31;21;57;24;32;33;27;22;7
07/10/2021;0,28;0,27;20;52;22;32;31;24;14;7
06/10/2021;0,25;0,22;13;37;16;43;49;28;11;6
05/10/2021;0,22;0,22;11;27;9;61;57;22;4;5
04/10/2021;0,24;0,23;13;39;19;37;39;18;6;6
03/10/2021;0,19;0,17;10;20;5;68;71;;5;5
02/10/2021;0,21;0,23;9;26;12;43;40;16;8;6
01/10/2021;0,27;0,26;15;43;20;33;33;21;10;6
30/09/2021;0,24;0,24;11;30;14;46;48;15;6;5
29/09/2021;0,24;0,23;13;36;15;45;50;28;9;5
28/09/2021;0,25;0,25;13;35;15;49;47;31;10;5
27/09/2021;0,22;0,24;10;23;7;63;64;24;6;5
26/09/2021;0,23;0,21;13;31;11;67;69;13;7;6
25/09/2021;0,22;0,22;11;24;8;73;68;19;11;5
24/09/2021;0,29;0,29;11;35;18;38;41;24;17;5
23/09/2021;0,32;0,32;14;37;16;46;42;25;17;5
22/09/2021;0,31;0,29;8;28;16;50;56;22;14;5
21/09/2021;0,28;0,28;4;17;11;51;43;24;9;5
20/09/2021;0,2;0,19;1;8;6;55;60;16;5;5
19/09/2021;0,18;0,18;1;5;4;73;71;21;5;5
18/09/2021;0,19;0,19;1;4;3;63;63;16;4;5
17/09/2021;0,27;0,3;5;23;15;40;34;20;12;5
16/09/2021;0,25;0,23;1;10;9;59;63;18;9;5
15/09/2021;0,23;0,23;3;14;9;52;49;27;11;5
14/09/2021;0,24;0,27;0;13;14;47;51;20;11;5
13/09/2021;0,29;0,3;1;12;14;58;54;29;17;5
12/09/2021;0,34;0,34;3;18;17;40;44;13;14;5
11/09/2021;0,29;0,25;1;12;13;42;42;16;11;5
10/09/2021;0,23;0,23;1;10;11;50;51;9;8;5
09/09/2021;0,19;0,2;1;11;13;47;51;18;7;5
08/09/2021;0,35;;1;10;11;59;63;16;16;5
07/09/2021;;;0;4;8;78;77;26;15;5
06/09/2021;;;11;36;19;67;66;;20;6
05/09/2021;0,46;0,41;10;24;10;58;59;;13;5
04/09/2021;0,35;0,34;6;20;10;48;49;17;14;5
03/09/2021;0,38;0,38;4;16;10;62;63;18;15;5
02/09/2021;0,32;0,31;4;18;11;61;58;15;15;5
01/09/2021;0,37;0,39;5;26;18;53;51;22;19;5
31/08/2021;0,33;0,31;7;25;14;52;51;18;13;6
30/08/2021;0,29;0,3;5;20;12;52;52;16;9;5
29/08/2021;0,31;0,31;4;19;13;54;54;17;;5
28/08/2021;0,32;0,32;4;17;12;56;55;18;12;5
27/08/2021;0,32;0,32;6;24;15;59;59;18;13;5
26/08/2021;0,34;0,35;5;21;12;58;56;18;14;5
25/08/2021;0,36;0,35;5;21;14;56;56;17;12;5
24/08/2021;0,31;0,29;5;17;10;53;51;16;10;4
23/08/2021;0,24;0,25;3;9;5;48;48;9;4;4
22/08/2021;0,3;0,31;4;15;10;39;40;12;4;4
21/08/2021;0,29;0,28;4;13;7;59;61;15;11;4
20/08/2021;0,26;0,25;4;13;7;51;45;12;8;4
19/08/2021;0,23;0,23;2;9;5;59;63;5;2;4
18/08/2021;0,23;0,21;2;6;3;79;81;8;4;4
17/08/2021;0,18;0,19;2;4;1;80;77;13;6;4
16/08/2021;0,2;0,21;2;5;2;65;64;13;5;4
15/08/2021;0,26;0,25;3;7;3;60;61;12;5;4
14/08/2021;0,27;0,28;2;7;3;52;51;19;8;4
13/08/2021;0,3;0,3;2;7;4;46;46;23;10;4
12/08/2021;0,24;0,23;2;8;5;49;51;13;7;4
11/08/2021;0,27;0,27;2;8;4;45;44;12;6;4
10/08/2021;0,25;0,26;5;16;9;40;42;16;8;4
09/08/2021;0,27;0,26;4;15;9;46;45;16;6;4
08/08/2021;0,2;0,19;3;9;5;48;50;13;4;4
07/08/2021;0,2;0,2;2;10;7;46;46;15;6;4
06/08/2021;0,22;0,22;2;9;5;57;58;16;5;4
05/08/2021;0,19;0,18;4;14;8;47;45;14;7;4
04/08/2021;0,2;0,22;3;10;6;50;48;15;8;4
03/08/2021;0,25;0,23;4;17;11;49;50;13;10;4
02/08/2021;0,21;0,21;5;19;11;49;46;14;9;5
01/08/2021;0,18;0,18;2;9;6;55;56;11;6;6
31/07/2021;0,22;0,22;1;6;4;55;55;11;4;4
30/07/2021;0,22;0,21;3;11;6;47;46;14;8;4
29/07/2021;0,22;0,24;5;18;11;38;36;14;8;4
28/07/2021;0,21;0,2;2;12;9;49;52;11;6;4
27/07/2021;0,24;0,25;4;19;12;52;52;18;13;4
26/07/2021;0,19;0,19;3;9;4;75;73;11;9;4
25/07/2021;0,19;0,19;3;8;3;60;60;12;5;4
24/07/2021;0,23;0,23;5;17;10;48;47;13;9;4
23/07/2021;0,24;0,25;2;8;4;67;71;14;10;4
22/07/2021;0,27;0,27;3;9;4;79;82;17;12;4
21/07/2021;0,28;0,28;2;6;3;85;85;32;26;4
20/07/2021;0,43;0,44;7;25;15;58;55;30;25;4
19/07/2021;0,32;0,32;8;23;11;60;62;24;21;4
18/07/2021;0,39;0,39;7;21;10;53;51;23;21;4
17/07/2021;0,24;0,23;8;23;10;42;42;19;15;4
16/07/2021;0,25;0,23;9;26;13;33;34;19;12;4
15/07/2021;0,19;0,21;5;17;9;38;40;14;9;3
14/07/2021;0,17;0,16;4;8;2;50;50;14;6;3
13/07/2021;0,15;0,14;3;7;2;44;43;16;6;3
12/07/2021;0,17;0,19;4;8;3;45;47;16;5;3
11/07/2021;0,21;0,21;6;14;5;46;45;13;11;3
10/07/2021;0,2;0,19;5;12;4;56;56;13;10;3
09/07/2021;0,16;0,17;6;17;7;42;40;11;7;4
08/07/2021;0,2;0,2;4;12;6;50;52;11;4;3
07/07/2021;0,21;0,2;4;13;8;45;41;14;7;3
06/07/2021;0,18;0,19;3;11;6;53;55;21;5;3
05/07/2021;0,24;0,23;7;21;10;44;42;18;9;3
04/07/2021;0,16;0,15;5;13;4;52;56;8;6;3
03/07/2021;0,23;0,24;4;10;4;63;62;14;12;3
02/07/2021;0,23;0,23;5;16;7;55;56;12;10;3
01/07/2021;0,2;0,17;4;10;5;62;;12;8;3
30/06/2021;0,17;0,18;3;10;6;55;55;13;7;3
29/06/2021;0,16;0,16;2;7;4;62;63;19;8;3
28/06/2021;0,23;0,24;3;15;11;50;47;18;8;4
27/06/2021;0,19;0,18;3;9;5;54;57;11;5;3
26/06/2021;0,19;0,2;4;14;7;52;53;13;9;3
25/06/2021;0,24;0,24;5;17;10;49;49;15;10;4
24/06/2021;0,18;0,16;3;9;6;68;70;14;6;3
23/06/2021;0,14;0,14;2;9;6;67;67;10;5;3
22/06/2021;0,18;0,18;2;9;6;61;60;10;3;3
21/06/2021;0,19;0,19;2;11;7;54;55;10;4;3
20/06/2021;0,16;0,16;2;9;5;60;61;11;4;3
19/06/2021;0,2;0,2;3;11;6;53;53;11;5;3
18/06/2021;0,24;0,23;3;12;7;57;55;13;9;3
17/06/2021;0,2;0,22;2;9;6;64;64;24;11;3
16/06/2021;0,24;0,24;5;18;11;62;63;;13;3
15/06/2021;0,25;0,25;8;22;10;60;59;25;16;3
14/06/2021;0,26;0,25;7;19;9;68;70;23;18;3
13/06/2021;0,26;0,25;7;21;11;58;56;32;24;3
12/06/2021;0,17;0,15;4;11;4;68;66;17;13;3
11/06/2021;0,18;0,19;5;15;7;40;38;13;7;3
10/06/2021;0,2;0,21;8;22;10;40;42;13;7;3
09/06/2021;0,21;0,21;5;11;4;70;72;13;9;3
08/06/2021;0,21;0,22;7;20;9;59;58;20;13;3
07/06/2021;0,25;0,25;6;18;9;61;62;19;10;3
06/06/2021;0,17;0,17;5;12;4;62;62;18;7;3
05/06/2021;0,22;0,22;7;21;10;46;43;13;6;3
04/06/2021;0,17;0,16;5;13;5;66;69;10;3;3
03/06/2021;0,21;0,22;5;11;4;77;79;14;5;3
02/06/2021;0,23;0,23;6;16;7;84;85;25;13;3
01/06/2021;0,23;0,25;5;14;7;87;84;20;13;3
31/05/2021;0,31;0,28;7;25;14;70;74;30;13;3
30/05/2021;0,2;0,2;6;17;7;73;72;17;8;3
29/05/2021;0,21;0,23;6;14;5;66;65;19;9;3
28/05/2021;0,26;0,25;7;23;12;60;62;27;11;3
27/05/2021;0,28;0,29;9;24;11;58;56;27;12;4
26/05/2021;0,24;0,25;10;27;12;54;56;29;10;4
25/05/2021;0,2;0,19;7;16;5;75;79;42;11;3
24/05/2021;0,21;0,23;4;13;7;78;74;30;10;3
23/05/2021;0,26;0,24;6;20;11;58;56;15;6;4
22/05/2021;0,21;0,22;4;17;11;59;57;19;7;4
21/05/2021;0,22;0,21;3;18;13;60;63;23;8;4
20/05/2021;0,21;0,19;5;20;12;60;58;15;7;4
19/05/2021;0,17;0,17;3;11;6;69;73;13;4;6
18/05/2021;0,2;0,2;4;17;10;60;55;17;5;7
17/05/2021;0,18;0,18;3;10;4;67;70;33;7;6
16/05/2021;0,17;0,19;3;11;6;61;55;19;5;6
15/05/2021;0,3;0,28;4;19;13;47;49;11;6;7
14/05/2021;0,2;0,21;4;12;6;77;80;14;4;6
13/05/2021;0,2;0,2;4;16;10;63;65;;4;6
12/05/2021;0,2;0,19;3;10;5;87;85;21;5;6
11/05/2021;0,16;0,17;4;11;5;85;85;17;4;6
10/05/2021;0,18;0,17;4;13;7;70;68;14;4;6
09/05/2021;0,19;0,19;3;11;6;75;76;20;8;6
08/05/2021;0,22;0,21;4;13;7;64;63;17;9;6
07/05/2021;0,23;0,24;5;18;9;51;51;24;9;6
06/05/2021;0,22;0,2;7;23;12;43;44;16;7;6
05/05/2021;0,19;0,21;3;11;6;69;72;15;4;5
04/05/2021;0,26;0,26;7;24;13;63;65;20;11;
03/05/2021;0,26;0,25;7;31;19;60;58;16;10;
02/05/2021;0,22;0,21;6;19;10;72;75;12;7;5
01/05/2021;0,2;0,2;5;14;5;97;95;9;5;5
30/04/2021;0,23;0,23;8;25;13;63;61;12;7;5
29/04/2021;0,2;0,21;6;20;11;78;81;12;4;4
28/04/2021;0,21;0,21;5;14;5;93;93;17;8;4
27/04/2021;0,22;0,23;5;15;7;85;86;15;7;5
26/04/2021;0,29;0,28;5;20;12;76;73;15;9;4
25/04/2021;0,21;0,21;5;15;8;83;88;9;6;5
24/04/2021;0,2;0,19;4;13;6;99;100;10;6;5
23/04/2021;0,17;0,17;5;16;9;92;90;11;5;5
22/04/2021;0,21;0,22;5;17;9;90;90;9;5;5
21/04/2021;0,22;0,22;7;25;13;75;74;23;10;5
20/04/2021;0,3;0,3;9;33;19;71;70;27;16;8
19/04/2021;0,28;0,29;7;29;18;71;71;29;16;7
18/04/2021;0,24;0,24;5;19;11;78;76;18;13;7
17/04/2021;0,25;0,25;5;17;10;78;82;14;8;6
16/04/2021;0,22;0,21;9;29;16;70;68;23;13;7
15/04/2021;0,24;0,26;8;29;16;64;65;24;14;7
14/04/2021;0,28;0,27;10;32;17;57;55;23;13;8
13/04/2021;0,27;0,26;9;32;19;51;55;18;12;7
12/04/2021;0,25;0,24;8;26;14;59;63;11;7;6
11/04/2021;0,2;0,21;5;11;3;85;79;10;4;5
10/04/2021;0,24;0,23;5;18;10;65;67;12;7;5
09/04/2021;0,26;0,26;5;18;10;70;73;18;9;6
08/04/2021;0,24;0,24;4;19;12;71;71;18;9;6
07/04/2021;0,2;0,18;5;15;9;80;84;12;5;5
06/04/2021;0,15;0,15;4;10;4;94;94;15;5;5
05/04/2021;0,33;0,33;5;19;12;73;69;21;10;6
04/04/2021;0,2;0,19;4;12;5;85;87;21;9;5
03/04/2021;0,2;0,2;4;12;5;85;83;28;11;5
02/04/2021;0,33;0,37;5;16;9;71;66;56;20;6
01/04/2021;0,28;0,26;3;16;11;81;89;31;13;6
31/03/2021;0,26;0,24;4;16;10;91;88;39;14;6
30/03/2021;0,21;0,2;3;15;10;88;91;44;16;6
29/03/2021;0,2;0,19;4;16;9;97;93;22;11;5
28/03/2021;0,24;0,24;5;25;17;63;60;51;16;6
27/03/2021;0,18;0,16;4;15;8;73;77;28;8;5
26/03/2021;0,22;0,23;9;29;15;58;52;25;10;7
25/03/2021;0,21;0,21;7;27;16;55;58;22;10;6
24/03/2021;0,27;0,28;11;41;24;50;46;28;15;10
23/03/2021;0,26;0,25;6;34;24;48;48;19;12;7
22/03/2021;0,19;0,17;4;19;12;61;68;12;8;4
21/03/2021;0,18;0,18;4;11;4;85;86;14;6;4
20/03/2021;0,18;0,18;5;11;4;80;79;14;5;4
19/03/2021;0,21;0,21;4;10;4;76;77;11;4;4
18/03/2021;0,16;0,15;4;11;4;78;77;16;6;4
17/03/2021;0,17;0,18;3;8;3;71;69;;4;5
16/03/2021;0,2;0,2;2;8;4;79;82;21;5;6
15/03/2021;0,24;0,24;7;26;14;66;66;34;10;8
14/03/2021;0,22;0,22;3;7;3;88;87;39;11;6
13/03/2021;0,25;0,25;3;18;13;59;51;35;12;9
12/03/2021;0,18;0,17;3;15;10;65;71;41;11;7
11/03/2021;0,28;0,29;8;33;21;47;41;43;15;8
10/03/2021;0,23;0,24;3;31;27;46;46;20;14;7
09/03/2021;0,27;0,25;4;25;19;64;72;21;14;6
08/03/2021;0,31;0,33;6;22;13;55;47;23;13;6
07/03/2021;0,23;0,21;4;20;15;46;50;23;12;6
06/03/2021;0,18;0,17;2;9;6;66;68;17;8;5
05/03/2021;0,33;0,35;10;35;20;43;36;41;24;6
04/03/2021;0,3;0,32;3;20;16;45;47;67;32;5
03/03/2021;0,26;0,24;2;16;12;60;64;58;26;5
02/03/2021;0,22;0,25;2;11;9;70;70;43;19;6
01/03/2021;0,26;0,25;3;12;7;70;68;31;15;5
28/02/2021;0,28;0,28;3;15;10;49;52;22;12;6
27/02/2021;0,21;0,21;3;9;4;67;65;24;9;5
26/02/2021;0,22;0,22;5;12;4;73;75;26;7;5
25/02/2021;0,2;0,2;10;21;6;66;63;40;13;5
24/02/2021;0,17;0,18;14;29;7;62;63;34;14;6
23/02/2021;0,24;0,23;10;23;8;64;61;8;5;5
22/02/2021;0,25;0,26;5;15;8;71;78;22;4;5
21/02/2021;0,29;0,31;4;10;4;84;83;38;16;4
20/02/2021;0,25;0,2;5;14;5;75;75;26;12;5
19/02/2021;0,17;0,22;5;13;5;70;66;76;21;4
18/02/2021;0,27;0,24;3;13;7;67;70;28;9;4
17/02/2021;0,22;0,23;6;19;10;56;54;15;8;5
16/02/2021;0,21;0,2;4;17;11;58;62;15;7;5
15/02/2021;0,18;0,18;4;13;7;59;61;10;6;6
14/02/2021;0,2;0,22;6;16;7;55;48;11;7;7
13/02/2021;0,29;0,27;7;31;20;27;33;24;12;8
12/02/2021;0,22;0,22;3;11;6;68;63;22;6;6
11/02/2021;0,25;0,26;7;27;17;35;35;14;6;7
10/02/2021;0,23;0,21;5;15;8;65;72;22;6;6
09/02/2021;0,21;0,23;4;11;5;73;69;6;2;6
08/02/2021;0,24;0,22;6;18;9;61;60;9;3;8
07/02/2021;0,19;0,19;6;16;7;63;64;9;3;8
06/02/2021;0,21;0,22;5;11;3;61;55;13;4;5
05/02/2021;0,23;0,23;5;20;12;32;35;15;9;6
04/02/2021;0,22;0,22;3;14;9;63;65;14;7;6
03/02/2021;0,18;0,16;5;14;7;62;60;25;7;5
02/02/2021;0,16;0,19;4;12;5;50;49;9;2;5
01/02/2021;0,22;0,2;3;12;7;71;74;47;19;5
31/01/2021;0,19;0,18;5;12;5;71;72;29;11;5
30/01/2021;0,17;0,17;3;9;4;66;61;19;7;5
29/01/2021;0,25;0,26;10;34;18;24;21;18;8;5
28/01/2021;0,22;0,22;12;32;15;24;25;19;7;5
27/01/2021;0,26;0,28;4;19;13;36;34;9;4;4
26/01/2021;0,26;0,21;6;33;24;29;35;11;6;6
25/01/2021;0,23;0,24;10;36;20;49;55;12;5;5
24/01/2021;0,21;0,2;4;13;7;78;76;14;3;5
23/01/2021;0,18;0,18;5;16;8;67;65;19;5;5
22/01/2021;0,15;0,16;4;16;9;73;77;15;4;6
21/01/2021;0,21;0,23;6;17;7;75;74;7;2;5
20/01/2021;0,21;0,21;11;25;9;75;75;12;6;6
19/01/2021;0,18;0,21;10;27;12;64;54;12;8;6
18/01/2021;0,35;0,32;14;49;27;32;38;17;8;7
17/01/2021;0,31;0,36;8;34;22;38;31;14;7;8
16/01/2021;0,36;0,31;13;50;30;33;41;24;11;8
15/01/2021;0,24;0,23;8;19;7;71;71;20;4;6
14/01/2021;0,28;0,31;14;52;30;36;25;22;12;9
13/01/2021;0,37;0,33;25;83;45;17;26;28;16;12
12/01/2021;0,32;0,35;16;57;33;32;24;25;12;11
11/01/2021;0,27;0,23;11;35;18;54;64;15;7;6
10/01/2021;0,23;0,26;11;28;10;48;42;14;7;6
09/01/2021;0,32;0,35;12;44;26;27;25;15;13;8
08/01/2021;0,39;0,35;23;68;32;25;29;19;15;8
07/01/2021;0,31;0,33;15;48;25;30;29;19;13;9
06/01/2021;0,33;0,32;5;30;22;41;43;13;10;12
05/01/2021;0,32;0,31;6;34;25;43;44;11;7;11
04/01/2021;0,23;0,28;2;18;16;66;70;8;3;12
03/01/2021;0,34;0,27;2;16;13;69;68;4;2;13
02/01/2021;0,15;0,17;3;12;6;78;79;12;3;9
01/01/2021;0,21;0,2;3;12;8;81;82;7;2;13
